brand_id,model_id,brand_name,model_name,image_count,years,minimum_year,maximum_year,unknown_year_images,suspicious_years,valid_labels,missing_labels,malformed_labels,invalid_bounding_boxes,viewpoint_unknown,viewpoint_1,viewpoint_2,viewpoint_3,viewpoint_4,viewpoint_5
7,683,GMC,Terrain,111,2010;2012;2013;2014,2010,2014,0,,111,0,0,0,0,11,11,18,40,31
7,684,GMC,Sierra,120,2011;2012;2013;2014;2015,2011,2015,0,,120,0,0,0,0,11,6,14,56,33
7,685,GMC,Acadia,79,2007;2011;2013,2007,2013,0,,79,0,0,0,0,10,8,11,32,18
7,686,GMC,GMC CANYON,56,2015,2015,2015,0,,56,0,0,0,0,7,2,3,31,13
7,687,GMC,Savana,117,2006;2010;2011;2012;2013;2014,2006,2014,0,,117,0,0,0,0,20,14,13,38,32
8,1045,Gumpert,Apollo,66,2008;2010;2012,2008,2012,0,,66,0,0,0,3,12,11,8,25,7
8,1046,Gumpert,Explosion,7,2014,2014,2014,0,,7,0,0,0,0,1,1,1,2,2
8,1047,Gumpert,Tornante,15,2011,2011,2011,0,,15,0,0,0,0,3,1,3,4,4
9,1114,Hennessey,Venom GT,58,2011;2013,2011,2013,0,,58,0,0,0,0,3,5,13,20,17
9,1115,Hennessey,Venom F5,3,2015,2015,2015,0,,3,0,0,0,0,0,0,1,1,1
9,1116,Hennessey,VelociRaptor,35,2014,2014,2014,0,,35,0,0,0,0,1,1,9,15,9
10,1309,Icona,Vulcano,16,2013,2013,2013,0,,16,0,0,0,1,1,4,4,5,1
11,734,Jeep,Grand Cherokee SRT,120,2012;2013;2014;2015,2012,2015,0,,120,0,0,0,0,11,9,18,56,26
11,735,Jeep,Wrangler,160,2009;2010;2011;2012;2013;2014,2009,2014,0,,160,0,0,0,0,23,22,32,44,39
11,736,Jeep,Compass,125,2009;2010;2011;2012;2013;2014,2009,2014,0,,125,0,0,0,0,22,17,23,34,29
11,737,Jeep,Cherokee,120,2014,2014,2014,0,,120,0,0,0,0,23,8,16,41,32
11,738,Jeep,Patriot,120,2009;2011;2012;2013;2014,2009,2014,0,,120,0,0,0,0,15,16,22,38,29
11,739,Jeep,Free,41,2004;2008;2010;2012,2004,2012,0,,41,0,0,0,0,5,5,8,15,8
11,741,Jeep,Jeep J12,29,2012,2012,2012,0,,29,0,0,0,0,3,1,5,15,5
11,742,Jeep,Renegade,119,2014;2015,2014,2015,0,,119,0,0,0,1,15,12,15,43,33
11,745,Jeep,Grand Cherokee,120,2004;2005;2010;2011;2012;2013;2014,2004,2014,0,,120,0,0,0,0,20,13,16,47,24
12,1318,KTM,X-BOW,120,2008;2014,2008,2014,0,,120,0,0,0,2,10,7,20,58,23
13,1980,MELKUS,MELKUS RS2000,29,2011,2011,2011,0,,29,0,0,0,0,8,2,4,12,3
14,1827,MG,MG3 SW,107,2008;2009,2008,2009,0,,107,0,0,0,1,12,12,19,44,19
14,1828,MG,MG3 Xross,22,2011,2011,2011,0,,22,0,0,0,0,3,2,5,8,4
14,1829,MG,MG5,120,2012;2014,2012,2014,0,,120,0,0,0,0,15,15,24,45,21
14,1830,MG,MG6 sedan,24,2011,2011,2011,0,,24,0,0,0,0,2,2,4,12,4
14,1831,MG,MG6 hatchback,84,2010;2012;2013;2014,2010,2014,0,,84,0,0,0,0,17,11,19,19,18
14,1832,MG,MG7,116,2007;2008;2009;2010,2007,2010,0,,116,0,0,0,0,18,10,18,48,22
14,1833,MG,Icon,17,2012,2012,2012,0,,17,0,0,0,0,3,2,6,4,2
14,1835,MG,MG CS,8,2013,2013,2013,0,,8,0,0,0,0,1,1,4,2,0
14,1836,MG,MG3,120,2011;2013;2014,2011,2014,0,,120,0,0,0,0,20,17,23,32,28
15,827,MINI,MINI,142,2009;2011;2012;2013;2014;2015,2009,2015,0,,142,0,0,0,0,19,16,40,38,29
15,828,MINI,MINI CLUBMAN,132,2008;2009;2011;2013;2014,2008,2014,0,,132,0,0,0,2,23,17,21,36,33
15,829,MINI,MINI COUNTRYMAN,120,2011;2012;2013;2014;2015,2011,2015,0,,120,0,0,0,0,13,12,28,37,30
15,830,MINI,MINI COUPE,120,2009;2012,2009,2012,0,,120,0,0,0,0,16,12,20,43,29
15,831,MINI,MINI PACEMAN,120,2013;2014;2015,2013,2015,0,,120,0,0,0,0,7,8,20,51,34
15,832,MINI,MINI ROADSTER,120,2012,2012,2012,0,,120,0,0,0,2,8,9,30,45,26
15,833,MINI,MINI E,26,,,,26,,26,0,0,0,0,4,3,10,5,4
15,835,MINI,MINI CLUBVAN,120,2012;2013,2012,2013,0,,120,0,0,0,0,6,4,22,58,30
15,836,MINI,MINI BEACHCOMBER,31,2010,2010,2010,0,,31,0,0,0,3,3,2,10,6,7
15,837,MINI,MINI VISION,10,2013,2013,2013,0,,10,0,0,0,0,2,2,2,2,2
15,838,MINI,MINI Superleggera,60,2014,2014,2014,0,,60,0,0,0,6,5,6,10,18,15
15,839,MINI,MINI CABRIO,120,2011;2012,2011,2012,0,,120,0,0,0,2,9,8,30,44,27
15,840,MINI,MINI JCW,120,2013;2014;2015,2013,2015,0,,120,0,0,0,1,12,12,19,44,32
15,841,MINI,MINI JCW COUNTRYMAN,120,2013;2014,2013,2014,0,,120,0,0,0,6,19,10,22,34,29
15,842,MINI,MINI JCW COUPE,89,2013,2013,2013,0,,89,0,0,0,0,7,8,14,38,22
15,843,MINI,MINI JCW PACEMAN,120,2013;2014,2013,2014,0,,120,0,0,0,5,9,7,27,49,23
16,1979,Mazzanti,Evantra,14,2013,2013,2013,0,,14,0,0,0,0,0,1,5,4,4
17,2001,Noble,Noble M600,34,2010;2015,2010,2015,0,,34,0,0,0,5,4,6,6,11,2
17,2002,Noble,Noble M14,10,2004,2004,2004,0,,10,0,0,0,0,2,2,2,2,2
17,2003,Noble,Noble M15,23,2006,2006,2006,0,,23,0,0,0,4,0,0,4,9,6
17,2004,Noble,Noble M12,8,2003,2003,2003,0,,8,0,0,0,0,0,1,2,4,1
18,1048,PGO,CEVENNES,47,2009;2013,2009,2013,0,,47,0,0,0,0,10,8,9,15,5
18,1050,PGO,HEMERA,17,2013,2013,2013,0,,17,0,0,0,0,5,2,1,6,3
19,1898,SPIRRA,Spirra,36,2011,2011,2011,0,,36,0,0,0,0,7,5,6,11,7
20,1117,SSC,Tuatara,39,2012,2012,2012,0,,39,0,0,0,0,8,6,11,7,7
20,1118,SSC,Ultimate,14,2010,2010,2010,0,,14,0,0,0,0,2,0,5,5,2
21,1302,Scion,Scion tC,65,2011;2013;2014,2011,2014,0,,65,0,0,0,1,7,7,16,18,16
21,1303,Scion,Scion iQ,75,2010;2012;2013,2010,2013,0,,75,0,0,0,1,11,7,14,28,14
21,1304,Scion,Scion xB,62,2008;2012;2014,2008,2014,0,,62,0,0,0,2,4,4,21,23,8
21,1305,Scion,Scion xA,12,2005,2005,2005,0,,12,0,0,0,0,0,0,4,6,2
21,1306,Scion,Scion xD,56,2008,2008,2008,0,,56,0,0,0,0,3,1,11,23,18
21,1307,Scion,Scion FR-S,82,2013,2013,2013,0,,82,0,0,0,0,10,4,22,30,16
22,948,TESLA,MODEL S,120,2009;2014;2015,2009,2015,0,,120,0,0,0,1,15,8,20,57,19
22,949,TESLA,TESLA Roadster,120,2008;2010;2011;2012,2008,2012,0,,120,0,0,0,1,13,4,31,50,21
22,950,TESLA,MODEL X,25,2012,2012,2012,0,,25,0,0,0,0,4,2,7,7,5
23,1319,TVR,Sagaris,12,2004;2006,2004,2006,0,,12,0,0,0,0,2,3,3,3,1
23,1320,TVR,Tuscan,24,2006,2006,2006,0,,24,0,0,0,0,4,4,12,4,0
24,1310,Tramontana,Tramontana,38,2011,2011,2011,0,,38,0,0,0,1,6,1,7,17,6
25,1757,Zenvo,Zenvo ST1,94,2010;2015,2010,2015,0,,94,0,0,0,6,8,6,7,42,25
26,1692,smart,smart fortwo,164,2010;2011;2012;2013;2014;2015,2010,2015,0,,164,0,0,0,1,25,21,42,43,32
26,1693,smart,smart for-us,20,2012,2012,2012,0,,20,0,0,0,0,0,0,4,10,6
26,1694,smart,smart forjeremy,68,2012;2013,2012,2013,0,,68,0,0,0,0,5,7,20,24,12
26,1695,smart,smart forstars,22,2012;2013,2012,2013,0,,22,0,0,0,0,0,0,0,14,8
26,1696,smart,smart forfour,83,2015,2015,2015,0,,83,0,0,0,5,5,3,29,33,8
26,1697,smart,smart fortwo electric,33,2014,2014,2014,0,,33,0,0,0,0,1,2,7,16,7
27,1064,Yiqi,Junpai D60,120,2013;2014;2015,2013,2015,0,,120,0,0,0,0,19,16,22,38,25
27,1065,Yiqi,Weizhi,98,2009;2011,2009,2011,0,,98,0,0,0,0,12,12,12,37,25
27,1066,Yiqi,Weizhi V2,120,2010;2012;2013,2010,2013,0,,120,0,0,0,0,21,10,13,52,24
27,1067,Yiqi,Weizhi V2 CROSS,16,2012,2012,2012,0,,16,0,0,0,0,2,2,4,4,4
27,1068,Yiqi,Weizhi V5,120,2012;2013;2014,2012,2014,0,,120,0,0,0,0,19,13,23,36,29
27,1069,Yiqi,Weizi,50,2004;2009;2011,2004,2011,0,,50,0,0,0,0,7,6,11,13,13
27,1070,Yiqi,Xiali N5,118,2010;2011;2013;2014,2010,2014,0,,118,0,0,0,0,18,16,21,33,30
27,1071,Yiqi,Xiali N7,162,2013;2014,2013,2014,0,,162,0,0,0,0,26,20,31,50,35
27,1072,Yiqi,Xiali hatchback,18,2011;2012,2011,2012,0,,18,0,0,0,0,3,2,4,5,4
27,1073,Yiqi,Xiali sedan,45,2008;2012,2008,2012,0,,45,0,0,0,0,9,4,6,14,12
27,1076,Yiqi,FAW NH2,10,2012,2012,2012,0,,10,0,0,0,0,3,0,2,3,2
27,1077,Yiqi,FAW NS2,4,2012,2012,2012,0,,4,0,0,0,0,1,0,0,3,0
27,1078,Yiqi,FAW TFC,8,2010,2010,2010,0,,8,0,0,0,0,2,0,2,2,2
27,1079,Yiqi,FAW X121,8,2012,2012,2012,0,,8,0,0,0,0,0,2,0,4,2
27,1081,Yiqi,Kuncheng,16,2011,2011,2011,0,,16,0,0,0,0,3,1,2,6,4
27,1082,Yiqi,Jiabao T50,6,2011,2011,2011,0,,6,0,0,0,0,1,0,2,2,1
27,1083,Yiqi,Jiabao T57,16,2011,2011,2011,0,,16,0,0,0,0,1,1,3,7,4
27,1084,Yiqi,Jiabao V52,46,2011;2012,2011,2012,0,,46,0,0,0,0,8,6,9,13,10
27,1085,Yiqi,Jiabao V55,13,2011,2011,2011,0,,13,0,0,0,0,4,0,3,5,1
27,1086,Yiqi,Jiabao V70,64,2009;2011;2012,2009,2012,0,,64,0,0,0,0,9,6,12,20,17
27,1087,Yiqi,Jiabao V80,132,2013;2014,2013,2014,0,,132,0,0,0,0,19,13,26,48,26
27,1088,Yiqi,Senya M80,120,2009;2011;2012;2014,2009,2014,0,,120,0,0,0,0,11,12,14,59,24
27,1089,Yiqi,Senya S80,95,2011;2013;2014,2011,2014,0,,95,0,0,0,0,15,11,11,41,17
27,1090,Yiqi,Jiabao T51,15,2011,2011,2011,0,,15,0,0,0,0,1,1,3,6,4
28,1864,Mitsubishi,ASX,120,2013;2014;2015,2013,2015,0,,120,0,0,0,0,22,14,16,44,24
28,1865,Mitsubishi,Pajero Sport,120,2011;2013;2014,2011,2014,0,,120,0,0,0,0,18,13,24,42,23
28,1866,Mitsubishi,Pajero,157,2008;2010;2011;2012;2014;2015,2008,2015,0,,157,0,0,0,0,23,10,21,74,29
28,1867,Mitsubishi,Grandis,95,2004;2006;2007;2008;2009;2010,2004,2010,0,,95,0,0,0,0,19,11,12,31,22
28,1870,Mitsubishi,Eclipse,47,2008;2009,2008,2009,0,,47,0,0,0,0,9,4,12,13,9
28,1871,Mitsubishi,Evo,82,2006;2008;2012,2006,2012,0,,82,0,0,0,0,12,10,12,29,19
28,1872,Mitsubishi,Mitsubishi i,120,2008;2011;2012,2008,2012,0,,120,0,0,0,4,14,4,17,59,22
28,1873,Mitsubishi,Mitsubishi Colt,75,2005;2009,2005,2009,0,,75,0,0,0,0,4,0,9,49,13
28,1874,Mitsubishi,ASX abroad version,120,2010;2011;2012;2013;2015,2010,2015,0,,120,0,0,0,0,15,7,15,47,36
28,1875,Mitsubishi,Global Small,25,2011,2011,2011,0,,25,0,0,0,0,2,2,7,9,5
28,1876,Mitsubishi,Mirage,57,2012;2014,2012,2014,0,,57,0,0,0,0,6,4,9,25,13
28,1877,Mitsubishi,Mitsubishi G4,14,2013,2013,2013,0,,14,0,0,0,0,2,2,3,4,3
28,1878,Mitsubishi,Endeavor,34,2004;2006;2007;2011,2004,2011,0,,34,0,0,0,0,4,3,3,13,11
28,1879,Mitsubishi,Mitsubishi CA-MiEV,28,2013,2013,2013,0,,28,0,0,0,0,4,5,8,7,4
28,1880,Mitsubishi,Mitsubishi GR-HEV,26,2013,2013,2013,0,,26,0,0,0,0,3,3,4,9,7
28,1881,Mitsubishi,Mitsubishi PX-MiEV,17,2009,2009,2009,0,,17,0,0,0,0,2,1,2,8,4
28,1882,Mitsubishi,Mitsubishi XR-PHEV,107,2013;2014;2015,2013,2015,0,,106,0,0,1,1,14,5,24,32,30
28,1884,Mitsubishi,eK Space,14,2013,2013,2013,0,,14,0,0,0,0,0,1,0,6,7
28,1885,Mitsubishi,Outlander abroad version,122,2010;2011;2012;2013;2014,2010,2014,0,,122,0,0,0,0,21,17,20,37,27
28,1886,Mitsubishi,Mitsubishi Fortis,110,2013,2013,2013,0,,110,0,0,0,0,17,16,18,36,23
28,1887,Mitsubishi,Mitsubishi Zinger,120,2008;2009;2011,2008,2011,0,,120,0,0,0,0,20,12,19,42,27
28,1888,Mitsubishi,Mitsubishi Lancer,119,2006;2007;2008;2010;2012;2015,2006,2015,0,,119,0,0,0,0,18,13,14,42,32
28,1889,Mitsubishi,Mitsubishi Lancer EX,120,2010;2011;2012;2013;2014;2015,2010,2015,0,,120,0,0,0,0,23,18,21,34,24
28,1891,Mitsubishi,Mitsubishi Galant,117,2007;2009;2012,2007,2012,0,,117,0,0,0,1,16,11,17,50,22
29,1245,Shangqidatong,MAXUS G10,118,2013;2014,2013,2014,0,,118,0,0,0,0,17,13,23,36,29
29,1246,Shangqidatong,MAXUS V80xs,118,2011;2012;2013;2014;2015,2011,2015,0,,118,0,0,0,0,19,13,15,48,23
30,1895,Spyker N.V.,Spyker C8,117,2006;2008;2009;2010;2011,2006,2011,0,,117,0,0,0,0,20,17,13,43,24
30,1896,Spyker N.V.,Spyker C12,16,2009,2009,2009,0,,16,0,0,0,0,1,2,8,2,3
30,1897,Spyker N.V.,Spyker B6,37,2013,2013,2013,0,,37,0,0,0,0,5,1,7,13,11
31,533,Dongnan,V3 Lingyue,153,2009;2010;2011;2012;2013;2014,2009,2014,0,,153,0,0,0,0,31,24,25,44,29
31,534,Dongnan,V6 Lingyue,120,2012;2013;2014,2012,2014,0,,120,0,0,0,0,18,14,25,35,28
31,535,Dongnan,Delica,43,2008;2010;2014,2008,2014,0,,43,0,0,0,0,4,4,9,16,10
31,536,Dongnan,Xiwang,89,2010;2011,2010,2011,0,,89,0,0,0,0,11,10,19,25,24
31,538,Dongnan,Northeast V4,5,2010,2010,2010,0,,5,0,0,0,0,1,1,2,1,0
31,540,Dongnan,Northeast V7,15,2013,2013,2013,0,,15,0,0,0,0,2,0,4,7,2
31,543,Dongnan,V5 Lingzhi,118,2012;2013;2014;2015,2012,2015,0,,118,0,0,0,0,21,16,17,37,27
32,544,Dongfeng,Junfeng CV03,107,2012,2012,2012,0,,107,0,0,0,0,11,11,20,36,29
32,545,Dongfeng,Dongfeng HUV,10,2012,2012,2012,0,,10,0,0,0,0,2,2,0,4,2
32,547,Dongfeng,Yufeng,63,2012;2014,2012,2014,0,,63,0,0,0,0,8,5,16,22,12
33,571,Dongfengxiaokang,DFSK C37,135,2012;2014;2015,2012,2015,0,,135,0,0,0,0,16,19,30,33,37
33,573,Dongfengxiaokang,DFSK K07,43,2006;2008;2010;2012;2013,2006,2013,0,,43,0,0,0,0,5,6,8,12,12
33,574,Dongfengxiaokang,DFSK K07II,60,2007;2011;2013;2014,2007,2014,0,,60,0,0,0,0,8,7,13,18,14
33,576,Dongfengxiaokang,DFSK V07S,45,2011;2012,2011,2012,0,,45,0,0,0,0,5,6,9,13,12
33,577,Dongfengxiaokang,DFSK V21,19,2011,2011,2011,0,,19,0,0,0,0,3,2,3,7,4
33,578,Dongfengxiaokang,DFSK V27,52,2011,2011,2011,0,,52,0,0,0,0,7,7,9,16,13
33,579,Dongfengxiaokang,DFSK V29,44,2011;2012,2011,2012,0,,44,0,0,0,0,6,6,8,13,11
33,580,Dongfengxiaokang,Fengguang,120,2013;2014;2015,2013,2015,0,,120,0,0,0,0,15,15,26,36,28
33,583,Dongfengxiaokang,DFSK V22,24,2009;2011,2009,2011,0,,24,0,0,0,0,2,2,6,7,7
34,565,Dongfengfengdu,Ruiqi Pickup,34,2009;2010;2013;2015,2009,2015,0,,34,0,0,0,0,5,5,4,10,10
34,566,Dongfengfengdu,Ruiqi Cargo,30,2010,2010,2010,0,,30,0,0,0,0,1,3,3,7,16
34,567,Dongfengfengdu,Shuaike,96,2010;2011;2012;2013;2014,2010,2014,0,,96,0,0,0,0,15,12,18,28,23
34,568,Dongfengfengdu,Yuxuan,24,2009,2009,2009,0,,24,0,0,0,0,5,3,3,9,4
34,569,Dongfengfengdu,Junfeng,11,2013;2014,2013,2014,0,,11,0,0,0,0,2,2,2,3,2
35,555,Dongfengfengshen,Fengshen A30,120,2014,2014,2014,0,,120,0,0,0,16,16,15,18,32,23
35,557,Dongfengfengshen,Fengshen CROSS,120,2011;2012;2013;2014,2011,2014,0,,120,0,0,0,0,18,13,27,36,26
35,558,Dongfengfengshen,Fengshen H30,114,2010;2011;2012;2013;2014,2010,2014,0,,114,0,0,0,0,22,15,21,33,23
35,559,Dongfengfengshen,Fengshen S30,118,2009;2011;2012;2013;2014,2009,2014,0,,118,0,0,0,0,23,15,19,38,23
35,560,Dongfengfengshen,Fengshen E30L,10,2013;2015,2013,2015,0,,10,0,0,0,0,2,1,2,3,2
35,563,Dongfengfengshen,Fengshen A60,119,2012;2014,2012,2014,0,,119,0,0,0,0,18,15,18,38,30
36,548,Dongfengfengxing,Fengxing CM7,120,2014,2014,2014,0,,120,0,0,0,0,21,17,19,39,24
36,549,Dongfengfengxing,Jingyi S50,119,2014,2014,2014,0,,119,0,0,0,12,18,13,21,32,23
36,550,Dongfengfengxing,Jingyi SUV,83,2012,2012,2012,0,,83,0,0,0,0,13,12,16,23,19
36,551,Dongfengfengxing,Jingyi X3,117,2014;2015,2014,2015,0,,117,0,0,0,1,16,12,21,37,30
36,552,Dongfengfengxing,Jingyi X5,119,2013;2015,2013,2015,0,,119,0,0,0,0,19,15,19,40,26
36,553,Dongfengfengxing,Lingzhi,119,2011;2013;2014;2015,2011,2015,0,,119,0,0,0,2,21,13,18,41,24
36,554,Dongfengfengxing,Jingyi,117,2007;2009;2010;2011;2012;2014,2007,2014,0,,117,0,0,0,0,14,13,20,50,20
37,1981,Zxauto,Changling,13,2010;2012,2010,2012,0,,13,0,0,0,0,1,1,3,5,3
37,1982,Zxauto,Grandtiger F1,46,2010;2011;2012,2010,2012,0,,46,0,0,0,0,6,5,7,19,9
37,1983,Zxauto,Grandtiger G3,111,2010;2012;2013;2014,2010,2014,0,,111,0,0,0,0,16,14,19,34,28
37,1984,Zxauto,Grandtiger TUV,120,2011;2012;2013;2014,2011,2014,0,,120,0,0,0,0,14,15,24,35,32
37,1985,Zxauto,Grandtiger abroad version,8,2010,2010,2010,0,,8,0,0,0,0,1,1,2,2,2
37,1986,Zxauto,Quick,48,2010;2012,2010,2012,0,,48,0,0,0,0,5,6,10,15,12
37,1987,Zxauto,Quick V5,48,2009,2009,2009,0,,48,0,0,0,0,4,4,6,26,8
37,1988,Zxauto,Quick V7,47,2010;2011,2010,2011,0,,47,0,0,0,0,7,6,7,19,8
37,1989,Zxauto,Zxauto C3,114,2012;2013;2014,2012,2014,0,,114,0,0,0,0,14,13,21,45,21
37,1991,Zxauto,GreenWheel,12,2013,2013,2013,0,,12,0,0,0,0,2,0,4,4,2
37,1992,Zxauto,Grandtiger SUV,8,2013,2013,2013,0,,8,0,0,0,0,2,2,1,1,2
37,1993,Zxauto,Qijian A9,72,2009;2010;2011;2012;2013;2014,2009,2014,0,,72,0,0,0,0,10,9,14,21,18
38,1949,Zhonghua,Zhonghua H220,120,2013;2014,2013,2014,0,,120,0,0,0,0,17,21,20,36,26
38,1950,Zhonghua,Zhonghua H320,118,2012,2012,2012,0,,118,0,0,0,0,19,14,21,35,29
38,1951,Zhonghua,Zhonghua H330,120,2013,2013,2013,0,,120,0,0,0,0,24,13,24,34,25
38,1952,Zhonghua,Zhonghua H530,120,2011;2012;2014,2011,2014,0,,120,0,0,0,0,19,16,16,39,30
38,1953,Zhonghua,Zhonghua V5,120,2012;2014,2012,2014,0,,120,0,0,0,0,19,16,15,40,30
38,1954,Zhonghua,Zhonghua Junjie,117,2009;2011;2012,2009,2012,0,,117,0,0,0,0,22,16,14,48,17
38,1955,Zhonghua,Zhonghua Junjie CROSS,120,2009;2010;2012,2009,2012,0,,120,0,0,0,0,25,11,15,44,25
38,1956,Zhonghua,Zhonghua Junjie FRV,120,2008;2009;2010,2008,2010,0,,120,0,0,0,0,21,16,18,39,26
38,1957,Zhonghua,Zhonghua Junjie FSV,117,2009;2010;2011,2009,2011,0,,117,0,0,0,0,21,14,12,45,25
38,1958,Zhonghua,Zhonghua Junjie Wagon,83,2008;2009;2011,2008,2011,0,,83,0,0,0,0,11,9,11,32,20
38,1959,Zhonghua,Zhonghua Zunchi,120,2004;2007;2008;2009;2011,2004,2011,0,,120,0,0,0,0,22,14,13,40,31
38,1961,Zhonghua,Zhonghua H230,119,2012,2012,2012,0,,119,0,0,0,0,11,10,24,45,29
39,1321,Toyota,Toyota RAV4,119,2009;2010;2012;2013,2009,2013,0,,119,0,0,0,0,23,16,19,39,22
39,1322,Toyota,Crown,119,2010;2011;2012;2013;2015,2010,2015,0,,119,0,0,0,0,22,14,24,33,26
39,1323,Toyota,Corolla,158,2011;2012;2013;2014,2011,2014,0,,158,0,0,0,0,26,25,28,50,29
39,1324,Toyota,Coaster,36,2007;2013,2007,2013,0,,36,0,0,0,0,3,3,5,19,6
39,1325,Toyota,Lcruiser,118,2007;2010;2012;2013,2007,2013,0,,118,0,0,0,0,21,13,18,45,21
39,1326,Toyota,Prado,119,2006;2010;2014,2006,2014,0,,119,0,0,0,0,20,15,22,34,28
39,1327,Toyota,Prius,120,2005;2006;2012,2005,2012,0,,120,0,0,0,0,16,14,27,38,25
39,1328,Toyota,Reiz,120,2010;2012;2013,2010,2013,0,,120,0,0,0,0,20,16,28,34,22
39,1329,Toyota,Vios,119,2011;2013;2014;2015,2011,2015,0,,119,0,0,0,0,22,20,18,33,26
39,1330,Toyota,Huaguan,118,2010;2011;2013,2010,2013,0,,118,0,0,0,0,20,14,22,31,31
39,1331,Toyota,FJ Cruiser,120,2007;2010;2011;2013;2014,2007,2014,0,,120,0,0,0,1,15,13,18,46,27
39,1332,Toyota,Venza,120,2009;2013,2009,2013,0,,120,0,0,0,0,14,12,20,50,24
39,1333,Toyota,Alphard,120,2011;2012;2013;2015,2011,2015,0,,120,0,0,0,0,12,11,15,55,27
39,1334,Toyota,Toyota 4 Rinner,120,2010;2011;2014,2010,2014,0,,120,0,0,0,0,9,5,12,73,21
39,1335,Toyota,Toyota 86,120,2012;2013;2014;2015,2012,2015,0,,120,0,0,0,0,9,6,12,69,24
39,1336,Toyota,Sequoia,120,2008;2010;2011;2012,2008,2012,0,,120,0,0,0,0,2,2,36,69,11
39,1337,Toyota,Zelas,137,2011;2013;2014,2011,2014,0,,137,0,0,0,0,19,15,20,55,28
39,1338,Toyota,Coaster abroad version,1,2012,2012,2012,0,,1,0,0,0,0,0,0,0,1,0
39,1341,Toyota,Previa,133,2004;2006;2007;2008;2010;2012,2004,2012,0,,133,0,0,0,0,19,13,21,49,31
39,1342,Toyota,Saina,83,2009;2011;2012;2015,2009,2015,0,,83,0,0,0,0,8,7,24,32,12
