class_index,brand_id,model_id,brand_name,model_name,normalized_brand,normalized_model,image_count,years,minimum_year,maximum_year,unknown_year_images,suspicious_years,valid_labels,missing_labels,malformed_labels,invalid_bounding_boxes,viewpoint_unknown,viewpoint_1,viewpoint_2,viewpoint_3,viewpoint_4,viewpoint_5
85,81,112,BWM,ConnectedDrive,BMW,ConnectedDrive,52,2011,2011,2011,0,,52,0,0,0,13,7,5,8,13,6
86,81,113,BWM,EfficientDynamics,BMW,EfficientDynamics,64,2009,2009,2009,0,,64,0,0,0,3,11,7,7,29,7
87,81,109,BWM,BWM i3,BMW,i3,120,2012;2013;2014,2012,2014,0,,120,0,0,0,1,14,14,24,42,25
88,81,110,BWM,BWM i8,BMW,i8,120,2011;2012;2013;2014;2015,2011,2015,0,,120,0,0,0,3,20,4,33,32,28
89,81,72,BWM,BWM M3 coupe,BMW,M3 coupe,65,2008;2010;2011;2013,2008,2013,0,,65,0,0,0,0,10,6,14,20,15
90,81,74,BWM,BWM M4 coupe,BMW,M4 coupe,62,2014,2014,2014,0,,62,0,0,0,0,8,5,7,30,12
91,81,75,BWM,BWM M5,BMW,M5,120,2005;2011;2012;2013;2014,2005,2014,0,,120,0,0,0,0,13,12,15,55,25
92,81,69,BWM,BWM X1,BMW,X1,149,2010;2012;2013;2014,2010,2014,0,,149,0,0,0,19,26,18,26,33,27
93,81,103,BWM,BWM X3,BMW,X3,143,2009;2010;2011;2012;2013;2014,2009,2014,0,,143,0,0,0,0,22,18,30,44,29
94,81,104,BWM,BWM X4,BMW,X4,119,2013;2014;2015,2013,2015,0,,119,0,0,0,0,14,11,19,47,28
95,81,105,BWM,BWM X5,BMW,X5,150,2008;2009;2011;2012;2013;2014,2008,2014,0,,150,0,0,0,0,24,22,27,44,33
96,81,78,BWM,BWM X5 M,BMW,X5 M,120,2010;2013;2014;2016,2010,2016,0,,120,0,0,0,0,16,14,23,40,27
97,81,106,BWM,BWM X6,BMW,X6,120,2010;2011;2012;2013;2014;2015,2010,2015,0,,120,0,0,0,0,14,17,22,41,26
98,81,79,BWM,BWM X6 M,BMW,X6 M,120,2010;2013;2014;2015;2016,2010,2016,0,,120,0,0,0,4,11,13,18,54,20
99,81,108,BWM,BWM Z4,BMW,Z4,139,2009;2011;2012;2013;2014,2009,2014,0,,139,0,0,0,0,17,14,36,42,30
100,81,119,BWM,Zagato Coupe,BMW,Zagato Coupe,54,2012,2012,2012,0,,54,0,0,0,5,10,3,13,12,11
101,84,1966,Brabus,Brabus CLS Class,Brabus,CLS Class,66,2012;2013,2012,2013,0,,66,0,0,0,0,5,5,14,22,20
102,84,1975,Brabus,Brabus E Class,Brabus,E Class,75,2010;2011;2013;2014,2010,2014,0,,75,0,0,0,0,11,5,11,26,22
103,84,1970,Brabus,Brabus G Class,Brabus,G Class,119,2012;2013;2014,2012,2014,0,,119,0,0,0,1,17,9,15,49,28
104,84,1964,Brabus,Brabus M Class,Brabus,M Class,91,2010;2012;2013,2010,2013,0,,91,0,0,0,0,11,10,20,28,22
105,84,1962,Brabus,Brabus S Class,Brabus,S Class,118,2011;2012;2013;2014;2015,2011,2015,0,,118,0,0,0,0,15,11,16,43,33
106,84,1971,Brabus,Brabus SLK Class,Brabus,SLK Class,75,2012,2012,2012,0,,75,0,0,0,0,9,9,15,24,18
107,84,1965,Brabus,Brabus smart fortwo,Brabus,smart fortwo,51,2005;2012;2013;2014;2015,2005,2015,0,,51,0,0,0,0,6,4,4,28,9
108,85,375,Bugatti,Veyron,Bugatti,Veyron,120,2008;2011;2012;2013;2014;2015,2008,2015,0,,120,0,0,0,2,18,6,33,40,21
109,54,202,Buck,Enclave,Buick,Enclave,119,2009;2010;2013;2014,2009,2014,0,,119,0,0,0,0,18,16,22,37,26
110,54,187,Buck,encore,Buick,encore,120,2013;2014;2015,2013,2015,0,,120,0,0,0,1,21,16,24,30,28
111,54,201,Buck,Envision,Buick,Envision,120,2014;2015,2014,2015,0,,120,0,0,0,1,21,16,16,40,26
112,54,196,Buck,EXCELLE  GT,Buick,EXCELLE  GT,303,2010;2011;2012;2013;2015,2010,2015,0,,303,0,0,0,0,44,41,68,82,68
113,54,197,Buck,EXCELLE  XT,Buick,EXCELLE  XT,120,2010;2012;2013;2014,2010,2014,0,,120,0,0,0,0,19,16,27,28,30
114,54,194,Buck,Exclle,Buick,Exclle,120,2011;2013,2011,2013,0,,120,0,0,0,0,23,17,23,30,27
115,54,189,Buck,Buick GL8 Business,Buick,GL8 Business,120,2008;2011;2012;2013;2014,2008,2014,0,,120,0,0,0,9,16,14,23,31,27
116,54,188,Buck,Buick GL8 Luxury Business,Buick,GL8 Luxury Business,76,2011;2013;2014,2011,2014,0,,76,0,0,0,0,11,9,18,18,20
117,54,192,Buck,Lacrosse,Buick,Lacrosse,182,2008;2009;2010;2011;2012;2013;2014,2008,2014,0,,182,0,0,0,0,27,24,37,55,39
118,54,195,Buck,Park Avenue,Buick,Park Avenue,118,2007;2009;2010;2011,2007,2011,0,,118,0,0,0,0,20,12,20,36,30
119,54,190,Buck,Regal,Buick,Regal,152,2009;2010;2011;2012;2013;2014,2009,2014,0,,152,0,0,0,0,25,22,31,35,39
120,54,191,Buck,Regal GS,Buick,Regal GS,105,2011;2012;2013;2014,2011,2014,0,,105,0,0,0,0,13,13,20,31,28
121,54,200,Buck,Buick Riviera,Buick,Riviera,83,1965;2013,1965,2013,0,,83,0,0,0,3,7,13,17,20,23
122,105,306,BYD,BYD e6,BYD,e6,120,2009;2012;2014,2009,2014,0,,120,0,0,0,0,16,14,21,37,32
123,105,294,BYD,BYD F0,BYD,F0,120,2009;2010;2011;2012;2015,2009,2015,0,,120,0,0,0,0,19,16,19,39,27
124,105,314,BYD,BYD F3,BYD,F3,120,2009;2011;2012;2013;2014;2015,2009,2015,0,,120,0,0,0,0,16,13,22,40,29
125,105,296,BYD,BYD F3R,BYD,F3R,118,2007;2008;2009;2011,2007,2011,0,,118,0,0,0,0,22,18,17,37,24
126,105,297,BYD,BYD F6,BYD,F6,120,2008;2009;2010;2011,2008,2011,0,,120,0,0,0,0,19,12,16,40,33
127,105,298,BYD,BYD G3,BYD,G3,115,2010;2011;2012;2013,2010,2013,0,,115,0,0,0,0,19,16,17,40,23
128,105,299,BYD,BYD G3R,BYD,G3R,106,2011,2011,2011,0,,106,0,0,0,0,15,8,15,45,23
129,105,300,BYD,BYD G5,BYD,G5,119,2014,2014,2014,0,,119,0,0,0,0,19,14,21,37,28
130,105,301,BYD,BYD G6,BYD,G6,118,2011;2012;2013,2011,2013,0,,118,0,0,0,1,15,15,19,40,28
131,105,302,BYD,BYD L3,BYD,L3,120,2010;2011;2012;2013;2015,2010,2015,0,,120,0,0,0,0,18,15,21,37,29
132,105,303,BYD,BYD M6,BYD,M6,120,2010;2011;2013;2015,2010,2015,0,,120,0,0,0,0,19,11,21,38,31
133,105,307,BYD,Qin,BYD,Qin,120,2012;2014,2012,2014,0,,120,0,0,0,0,18,12,22,41,27
134,105,304,BYD,BYD S6,BYD,S6,120,2011;2012;2013;2014,2011,2014,0,,120,0,0,0,1,19,17,22,33,28
135,105,305,BYD,BYD S7,BYD,S7,120,2013;2015,2013,2015,0,,120,0,0,0,0,16,12,16,45,31
136,105,308,BYD,Si Rui,BYD,Si Rui,116,2013,2013,2013,0,,116,0,0,0,0,19,13,24,31,29
137,105,309,BYD,Su Rui,BYD,Su Rui,116,2012;2013;2014;2015,2012,2015,0,,116,0,0,0,0,21,19,20,34,22
138,53,767,Cadillac,Cadillac ATS,Cadillac,ATS,120,2013;2014;2015;2016,2013,2016,0,,120,0,0,0,0,13,9,23,46,29
139,53,766,Cadillac,Cadillac ATS-L,Cadillac,ATS-L,120,2014,2014,2014,0,,120,0,0,0,0,20,14,17,39,30
140,53,765,Cadillac,Cadillac CTS,Cadillac,CTS,129,2009;2010;2011;2012;2013;2014,2009,2014,0,,129,0,0,0,0,21,15,21,38,34
141,53,776,Cadillac,Cadillac ELR,Cadillac,ELR,120,2014,2014,2014,0,,120,0,0,0,0,10,7,27,55,21
142,53,771,Cadillac,Escalade,Cadillac,Escalade,120,2010;2013;2014;2015,2010,2015,0,,120,0,0,0,0,14,5,18,64,19
143,53,763,Cadillac,Seville SLS,Cadillac,Seville SLS,120,2009;2010;2011;2012,2009,2012,0,,120,0,0,0,0,19,14,16,38,33
144,53,770,Cadillac,Cadillac SRX,Cadillac,SRX,120,2010;2011;2012;2013;2014;2015,2010,2015,0,,120,0,0,0,0,23,11,20,35,31
145,53,764,Cadillac,Cadillac XTS,Cadillac,XTS,120,2011;2013;2014;2015,2011,2015,0,,120,0,0,0,0,19,17,22,37,25
146,75,1655,Chrey,Chrey A1,Chery,A1,119,2007;2009;2011,2007,2011,0,,119,0,0,0,0,19,15,21,35,29
147,75,1656,Chrey,Chrey A3 hatchback,Chery,A3 hatchback,88,2008;2009;2010;2011,2008,2011,0,,88,0,0,0,0,19,13,12,26,18
148,75,1657,Chrey,Chrey A3 sedan,Chery,A3 sedan,102,2008;2010;2011;2012,2008,2012,0,,102,0,0,0,0,18,15,15,29,25
149,75,1658,Chrey,Chrey A5,Chery,A5,78,2006;2007;2009;2010,2006,2010,0,,78,0,0,0,0,13,12,10,30,13
150,75,1683,Chrey,Arrizo 7,Chery,Arrizo 7,119,2013;2014,2013,2014,0,,119,0,0,0,0,21,11,17,36,34
151,75,1667,Chrey,Cowin 1,Chery,Cowin 1,131,2010;2011;2012,2010,2012,0,,131,0,0,0,0,18,12,25,49,27
152,75,1668,Chrey,Cowin 2,Chery,Cowin 2,115,2010;2012;2013;2014,2010,2014,0,,115,0,0,0,0,21,11,20,32,31
153,75,1669,Chrey,Cowin 3,Chery,Cowin 3,110,2010,2010,2010,0,,110,0,0,0,0,15,12,16,40,27
154,75,1670,Chrey,Cowin 5,Chery,Cowin 5,118,2012,2012,2012,0,,118,0,0,0,0,16,15,22,37,28
155,75,1659,Chrey,Chrey E3,Chery,E3,114,2013;2015,2013,2015,0,,114,0,0,0,0,21,6,24,36,27
156,75,1660,Chrey,Chrey E5,Chery,E5,117,2011;2012;2014,2011,2014,0,,117,0,0,0,1,22,14,22,35,23
157,75,1651,Chrey,Eastar,Chery,Eastar,118,2004;2005;2006;2007;2012,2004,2012,0,,118,0,0,0,0,16,16,17,42,27
158,75,1652,Chrey,Eastar Cross,Chery,Eastar Cross,87,2006;2007;2008;2009,2006,2009,0,,87,0,0,0,0,16,8,10,35,18
159,75,1653,Chrey,Fulwin 2 hatchback,Chery,Fulwin 2 hatchback,123,2009;2010;2012;2013,2009,2013,0,,123,0,0,0,0,19,16,23,34,31
160,75,1654,Chrey,Fulwin 2 sedan,Chery,Fulwin 2 sedan,68,2009;2010;2012;2013,2009,2013,0,,68,0,0,0,0,17,6,11,20,14
161,75,1661,Chrey,Chrey QQ,Chery,QQ,120,2013,2013,2013,0,,120,0,0,0,3,24,14,18,30,31
162,75,1662,Chrey,Chrey QQ3,Chery,QQ3,118,2009;2010;2011;2012,2009,2012,0,,118,0,0,0,0,19,10,11,54,24
163,75,1664,Chrey,Chrey QQme,Chery,QQme,70,2009;2010,2009,2010,0,,70,0,0,0,0,10,8,14,21,17
164,75,1671,Chrey,Tiggo,Chery,Tiggo,113,2009;2010;2011;2012;2013,2009,2013,0,,113,0,0,0,0,22,9,15,43,24
165,75,1672,Chrey,Tiggo 3,Chery,Tiggo 3,119,2014,2014,2014,0,,118,0,0,1,0,21,15,21,41,20
166,75,1673,Chrey,Tiggo 5,Chery,Tiggo 5,119,2014;2015,2014,2015,0,,119,0,0,0,0,20,11,29,34,25
167,75,1665,Chrey,Chrey X1,Chery,X1,118,2010;2011;2012,2010,2012,0,,118,0,0,0,0,17,14,18,42,27
168,157,1911,Chevy,Aveo,Chevy,Aveo,133,2008;2009;2010,2008,2010,0,,133,0,0,0,0,18,21,18,45,31
169,157,1905,Chevy,AVEO hatchback,Chevy,AVEO hatchback,140,2011;2014,2011,2014,0,,140,0,0,0,0,19,19,28,38,36
170,157,1917,Chevy,Aveo sedan,Chevy,Aveo sedan,237,2011;2013;2014,2011,2014,0,,237,0,0,0,0,30,31,49,66,61
171,157,1946,Chevy,Camaro,Chevy,Camaro,113,2010;2011;2012;2013;2014;2015,2010,2015,0,,113,0,0,0,0,14,11,22,40,26
172,157,1910,Chevy,Captiva,Chevy,Captiva,120,2010;2011;2012;2013;2014,2010,2014,0,,120,0,0,0,0,17,16,29,33,25
173,157,1933,Chevy,Colorado,Chevy,Colorado,98,2011;2012;2014;2015,2011,2015,0,,98,0,0,0,2,6,4,12,47,27
174,157,1928,Chevy,Corvette,Chevy,Corvette,120,2010;2012;2013;2014;2015,2010,2015,0,,120,0,0,0,3,13,11,19,44,30
175,157,1926,Chevy,Cruze abroad version,Chevy,Cruze abroad version,120,2011;2013;2014;2015,2011,2015,0,,120,0,0,0,0,8,9,15,57,31
176,157,1909,Chevy,Cruze hatchback,Chevy,Cruze hatchback,102,2013,2013,2013,0,,102,0,0,0,0,12,13,21,28,28
177,157,1908,Chevy,Cruze sedan,Chevy,Cruze sedan,167,2009;2010;2011;2012;2013;2014;2015,2009,2015,0,,167,0,0,0,0,26,28,33,41,39
178,157,1907,Chevy,Epica,Chevy,Epica,115,2006;2007;2010;2011;2012;2013,2006,2013,0,,115,0,0,0,0,16,15,19,39,26
179,157,1934,Chevy,Equinox,Chevy,Equinox,91,2005;2008;2010;2013;2015;2016,2005,2016,0,,91,0,0,0,0,6,3,13,44,25
180,157,1935,Chevy,Impala,Chevy,Impala,83,2014,2014,2014,0,,83,0,0,0,0,10,6,18,32,17
181,157,1912,Chevy,Lova,Chevy,Lova,119,2009;2010,2009,2010,0,,119,0,0,0,0,20,14,15,41,29
182,157,1913,Chevy,Malibu,Chevy,Malibu,120,2012;2013;2014,2012,2014,0,,120,0,0,0,0,20,18,22,36,24
183,157,1924,Chevy,CHEVY Orlando,Chevy,Orlando,69,2009;2012,2009,2012,0,,69,0,0,0,0,3,3,9,41,13
184,157,1914,Chevy,Sail hatchback,Chevy,Sail hatchback,143,2010;2011;2013;2014,2010,2014,0,,143,0,0,0,1,28,19,29,33,33
185,157,1915,Chevy,Sail sedan,Chevy,Sail sedan,288,2010;2011;2013;2014,2010,2014,0,,288,0,0,0,1,40,34,57,86,70
186,157,1916,Chevy,Sail SPRINGO,Chevy,Sail SPRINGO,113,2010;2012;2013;2015,2010,2015,0,,113,0,0,0,0,18,17,23,28,27
187,157,1929,Chevy,Silverado,Chevy,Silverado,120,2014;2015,2014,2015,0,,120,0,0,0,0,13,8,19,56,24
188,157,1925,Chevy,Sonic,Chevy,Sonic,120,2010;2012;2013;2014,2010,2014,0,,120,0,0,0,0,11,9,19,48,33
189,157,1920,Chevy,Spark,Chevy,Spark,114,2011;2013;2014,2011,2014,0,,114,0,0,0,0,12,8,19,47,28
190,157,1930,Chevy,CHEVY SS,Chevy,SS,89,2014,2014,2014,0,,89,0,0,0,0,6,7,7,42,27
191,157,1941,Chevy,CHEVY Tahoe,Chevy,Tahoe,91,2002;2007;2015,2002,2015,0,,91,0,0,0,0,5,1,13,57,15
192,157,1921,Chevy,CHEVY Traverse,Chevy,Traverse,53,2009;2013,2009,2013,0,,53,0,0,0,0,7,5,5,24,12
193,157,1906,Chevy,Trax,Chevy,Trax,119,2014,2014,2014,0,,119,0,0,0,2,17,11,25,36,28
194,157,1927,Chevy,CHEVY Trax,Chevy,Trax,116,2014;2015,2014,2015,0,,116,0,0,0,0,11,10,24,45,26
